Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP
1999-12-31,29.361858367919922,6.7843971252441415,,18.375,,1.143539309501648,16.693561553955078,14.46875,,29.17229652404785,5.721303939819336,47.98077774047852,18.413864135742188,327.625,7.740581035614014,5.903102397918701,15.358007431030273,7.53125,,,5.473121166229248,14.669666290283205,,,1.747562050819397,76.125,,12.025714874267578,,12.745997428894045
2000-01-03,28.31187438964844,6.5391788482666025,,18.25,,1.227554202079773,16.274673461914062,15.5,,28.294198989868164,5.425766468048097,44.68379974365234,18.00238800048828,321.25,7.713035106658935,5.537764549255371,15.08645248413086,7.375,,,5.33629322052002,14.326738357543945,,,1.780803680419922,89.375,,11.865067481994627,,12.473225593566895
2000-01-04,27.18690490722656,6.3523430824279785,,17.8125,,1.1902146339416504,14.909400939941404,14.625,,27.17218971252441,5.28178596496582,41.27046585083008,17.453739166259766,300.0,7.616623401641847,5.537764549255371,14.754547119140625,6.9375,,,5.33629322052002,13.869501113891602,,,1.7950496673583984,81.9375,,11.865067481994627,,12.622014999389648
2000-01-05,27.97437858581543,6.340668201446532,,18.0,,1.1948819160461426,15.20417308807373,15.0,,27.46489143371582,5.251472473144531,38.71043395996094,17.55660057067871,283.5,7.657941818237305,5.633907794952393,14.482990264892578,7.28125,,,5.597509384155273,14.47914218902588,,,1.7855522632598877,69.75,,12.32406520843506,,13.093165397644045
2000-01-06,30.22434043884277,6.5625343322753915,,18.03125,,1.171544075012207,15.328289985656738,16.0,,27.68441200256348,5.357564926147461,37.23649597167969,18.72247695922852,236.125,7.664830684661865,5.826190948486327,14.211438179016113,7.75,,,5.597509384155273,14.402936935424805,,,1.752311110496521,65.5625,,12.278165817260742,,13.167561531066895
2000-01-07,30.824323654174805,6.632594585418701,,17.9375,,1.2042169570922852,16.072982788085938,16.25,,28.22102928161621,5.463656425476074,40.33953475952149,20.025508880615234,248.375,7.9471797943115225,5.7300477027893075,14.482990264892578,8.25,,,5.67214298248291,14.936383247375488,,,1.7997987270355225,69.5625,,12.461761474609375,,13.341141700744627
2000-01-10,30.67433357238769,6.585886478424072,,20.5,,1.2648946046829224,16.693561553955078,17.5,,29.48938751220703,5.1378045082092285,42.783180236816406,18.791057586669922,285.5,7.809446811676025,5.7108211517333975,14.66402816772461,8.28125,,,5.684581756591798,14.59345817565918,,,1.8235429525375368,69.1875,,12.369966506958008,,13.291548728942873
2000-01-11,30.149333953857425,6.492469787597656,,19.8125,,1.3209048509597778,15.545493125915527,17.25,,29.63572883605957,5.031715393066406,42.20136260986328,17.93379783630371,278.4375,7.809446811676025,5.6915955543518075,14.694208145141602,7.5,,,5.67214298248291,14.55535125732422,,,1.8330409526824951,66.75,,12.347010612487793,,13.341141700744627
2000-01-12,30.22434043884277,6.434139728546143,,19.59375,,1.2648946046829224,15.467921257019045,18.125,,30.24552345275879,4.948357105255127,41.3480224609375,18.24241065979004,254.0,7.58907413482666,5.7300477027893075,14.482990264892578,7.40625,,,5.7343382835388175,14.631564140319824,,,1.842538595199585,63.5625,,12.41586208343506,,13.44033145904541
2000-01-13,30.22434043884277,6.37510871887207,,21.0,,1.278897047042847,16.290189743041992,18.875,,30.75774955749512,5.062026023864746,41.9686393737793,18.10525131225586,232.8125,7.575302124023437,5.806964874267577,14.543342590332033,8.71875,,,5.784092426300049,15.126900672912598,,,1.861534118652344,65.9375,,12.461761474609375,,13.415533065795898
2000-01-14,29.79309463500977,6.516781806945801,,21.375,,1.2648946046829224,16.460847854614258,20.1875,,32.48955535888672,5.2060065269470215,42.4340934753418,17.762344360351562,230.0,7.533979415893555,5.6915955543518075,14.63386058807373,8.65625,,,5.709458351135254,14.745868682861328,,,1.842538595199585,64.25,,12.278165817260742,,13.415533065795898
2000-01-18,29.136859893798828,6.37510871887207,,26.0,,1.2695618867874146,15.88680934906006,19.5,,30.416261672973636,4.849844932556152,44.37350463867188,16.905096054077152,211.5,7.520210266113281,5.5762224197387695,14.66402816772461,8.265625,,,5.67214298248291,14.669666290283205,,,1.747562050819397,64.125,,11.865067481994627,,13.093165397644045
2000-01-19,29.643085479736328,6.245245933532715,,24.375,,1.250892162322998,15.669607162475586,19.59375,,30.587013244628906,4.561886787414551,43.44258117675781,16.939382553100586,224.75,7.3411545753479,5.595449924468994,14.603689193725586,8.53125,,,5.721897602081299,14.36483669281006,,,1.7760554552078247,66.8125,,12.16341495513916,,13.266748428344727
2000-01-20,28.536865234375,6.0563597679138175,,23.5,,1.1808794736862185,15.840267181396484,19.5,,30.31870460510254,4.9332051277160645,42.2789306640625,16.390741348266598,234.0,7.16210412979126,5.518534183502197,14.603689193725586,9.96875,,,5.945801258087157,14.47914218902588,,,1.7155076265335083,64.75,,12.117520332336426,,13.117964744567873
2000-01-21,28.480627059936523,5.891074180603027,,29.4375,,1.1295368671417236,15.607548713684082,18.9375,,31.2211856842041,4.698288440704347,42.66681671142578,15.87639045715332,269.0,7.0105977058410645,5.595449924468994,14.543342590332033,11.03125,,,6.654816150665282,14.326738357543945,,,1.671580791473389,62.0625,,12.209315299987793,,13.489930152893065
